id	landmark_id	tag_id	created_at	updated_at
292	66	61	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
293	66	3	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
294	66	119	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
295	77	69	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
296	84	99	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
297	3	96	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
298	63	96	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
299	31	60	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
300	31	61	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
301	72	89	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
302	72	120	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
303	82	120	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
304	81	120	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
305	47	104	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
306	8	14	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
307	10	14	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
308	78	110	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
309	10	110	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
310	11	110	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
311	17	110	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
312	19	110	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
313	44	110	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
314	49	110	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
315	16	118	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
316	6	17	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
317	61	99	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
318	89	96	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
319	89	61	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
320	89	116	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
321	76	115	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
